,0
350,"2, 28320, Note_off_c, 0, 66, 80
"
351,"2, 28320, Note_off_c, 0, 63, 80
"
352,"2, 28320, Note_off_c, 0, 56, 80
"
353,"2, 28320, Note_on_c, 0, 73, 111
"
354,"2, 28320, Note_on_c, 0, 64, 111
"
355,"2, 28320, Note_on_c, 0, 49, 111
"
356,"2, 28800, Note_off_c, 0, 73, 80
"
357,"2, 28800, Note_off_c, 0, 64, 80
"
358,"2, 28800, Note_off_c, 0, 49, 80
"
359,"2, 28800, Note_on_c, 0, 52, 111
"
360,"2, 28920, Note_off_c, 0, 52, 80
"
361,"2, 28920, Note_on_c, 0, 49, 111
"
362,"2, 29040, Note_off_c, 0, 49, 80
"
363,"2, 29040, Note_on_c, 0, 56, 127
"
364,"2, 29160, Note_off_c, 0, 56, 80
"
365,"2, 29160, Note_on_c, 0, 52, 111
"
366,"2, 29280, Note_off_c, 0, 52, 80
"
367,"2, 29280, Note_on_c, 0, 61, 111
"
368,"2, 29760, Note_off_c, 0, 61, 80
"
369,"2, 29760, Note_on_c, 0, 73, 111
"
370,"2, 29760, Note_on_c, 0, 68, 111
"
371,"2, 29760, Note_on_c, 0, 64, 111
"
372,"2, 30240, Note_off_c, 0, 73, 80
"
373,"2, 30240, Note_off_c, 0, 68, 80
"
374,"2, 30240, Note_off_c, 0, 64, 80
"
375,"2, 30240, Note_on_c, 0, 51, 111
"
376,"2, 30360, Note_off_c, 0, 51, 80
"
377,"2, 30360, Note_on_c, 0, 47, 127
"
378,"2, 30480, Note_off_c, 0, 47, 80
"
379,"2, 30480, Note_on_c, 0, 56, 127
"
380,"2, 30600, Note_off_c, 0, 56, 80
"
381,"2, 30600, Note_on_c, 0, 51, 111
"
382,"2, 30720, Note_off_c, 0, 51, 80
"
383,"2, 30720, Note_on_c, 0, 59, 111
"
384,"2, 31200, Note_off_c, 0, 59, 80
"
385,"2, 31200, Note_on_c, 0, 75, 111
"
386,"2, 31200, Note_on_c, 0, 68, 111
"
387,"2, 31200, Note_on_c, 0, 63, 111
"
388,"2, 31680, Note_off_c, 0, 75, 80
"
389,"2, 31680, Note_off_c, 0, 68, 80
"
390,"2, 31680, Note_off_c, 0, 63, 80
"
391,"2, 31680, Note_on_c, 0, 50, 111
"
392,"2, 31800, Note_off_c, 0, 50, 80
"
393,"2, 31800, Note_on_c, 0, 46, 111
"
394,"2, 31920, Note_off_c, 0, 46, 80
"
395,"2, 31920, Note_on_c, 0, 53, 111
"
396,"2, 32040, Note_off_c, 0, 53, 80
"
397,"2, 32040, Note_on_c, 0, 49, 111
"
398,"2, 32160, Note_off_c, 0, 49, 80
"
399,"2, 32160, Note_on_c, 0, 58, 111
"
400,"2, 32640, Note_off_c, 0, 58, 80
"
401,"2, 32640, Note_on_c, 0, 77, 111
"
402,"2, 32640, Note_on_c, 0, 68, 111
"
403,"2, 32640, Note_on_c, 0, 62, 111
"
404,"2, 33120, Note_off_c, 0, 77, 80
"
405,"2, 33120, Note_off_c, 0, 68, 80
"
406,"2, 33120, Note_off_c, 0, 62, 80
"
407,"2, 33120, Note_on_c, 0, 58, 111
"
408,"2, 33600, Note_off_c, 0, 58, 80
"
409,"2, 33600, Note_on_c, 0, 74, 127
"
410,"2, 33600, Note_on_c, 0, 68, 127
"
411,"2, 33600, Note_on_c, 0, 65, 127
"
412,"2, 33600, Note_on_c, 0, 58, 127
"
413,"2, 34080, Note_off_c, 0, 74, 80
"
414,"2, 34080, Note_off_c, 0, 68, 80
"
415,"2, 34080, Note_off_c, 0, 65, 80
"
416,"2, 34080, Note_off_c, 0, 58, 80
"
417,"2, 34080, Note_on_c, 0, 75, 111
"
418,"2, 34080, Note_on_c, 0, 66, 111
"
419,"2, 34080, Note_on_c, 0, 51, 111
"
420,"2, 34560, Note_off_c, 0, 75, 80
"
421,"2, 34560, Note_off_c, 0, 66, 80
"
422,"2, 34560, Note_off_c, 0, 51, 80
"
423,"2, 35040, Note_on_c, 0, 70, 111
"
424,"2, 35040, Note_on_c, 0, 63, 111
"
425,"2, 35040, Note_on_c, 0, 54, 111
"
426,"2, 35520, Note_off_c, 0, 70, 80
"
427,"2, 35520, Note_off_c, 0, 63, 80
"
428,"2, 35520, Note_off_c, 0, 54, 80
"
429,"2, 35520, Note_on_c, 0, 71, 111
"
430,"2, 35520, Note_on_c, 0, 63, 111
"
431,"2, 35520, Note_on_c, 0, 56, 127
"
432,"2, 36000, Note_off_c, 0, 71, 80
"
433,"2, 36000, Note_off_c, 0, 63, 80
"
434,"2, 36000, Note_off_c, 0, 56, 80
"
435,"2, 36960, Note_on_c, 0, 63, 111
"
436,"2, 36960, Note_on_c, 0, 54, 111
"
437,"2, 36960, Note_on_c, 0, 46, 111
"
438,"2, 37440, Note_off_c, 0, 63, 80
"
439,"2, 37440, Note_off_c, 0, 54, 80
"
440,"2, 37440, Note_off_c, 0, 46, 80
"
441,"2, 37440, Note_on_c, 0, 62, 111
"
442,"2, 37440, Note_on_c, 0, 56, 127
"
443,"2, 37440, Note_on_c, 0, 53, 111
"
444,"2, 37440, Note_on_c, 0, 42, 95
"
445,"2, 37920, Note_off_c, 0, 62, 80
"
446,"2, 37920, Note_off_c, 0, 56, 80
"
447,"2, 37920, Note_off_c, 0, 53, 80
"
448,"2, 37920, Note_off_c, 0, 42, 80
"
449,"2, 37920, Note_on_c, 0, 63, 111
"
450,"2, 37920, Note_on_c, 0, 54, 111
"
451,"2, 38400, Note_off_c, 0, 63, 80
"
452,"2, 38400, Note_off_c, 0, 54, 80
"
453,"2, 38400, Note_on_c, 0, 70, 111
"
454,"2, 38880, Note_off_c, 0, 70, 80
"
455,"2, 38880, Note_on_c, 0, 70, 111
"
456,"2, 39360, Note_off_c, 0, 70, 80
"
457,"2, 39360, Note_on_c, 0, 70, 111
"
458,"2, 40320, Note_off_c, 0, 70, 80
"
459,"2, 40320, Note_on_c, 0, 62, 111
"
460,"2, 40800, Note_off_c, 0, 62, 80
"
461,"2, 40800, Note_on_c, 0, 63, 111
"
462,"2, 41280, Note_off_c, 0, 63, 80
"
463,"2, 41280, Note_on_c, 0, 65, 111
"
464,"2, 41760, Note_off_c, 0, 65, 80
"
465,"2, 41760, Note_on_c, 0, 66, 111
"
466,"2, 42240, Note_off_c, 0, 66, 80
"
467,"2, 42240, Note_on_c, 0, 66, 111
"
468,"2, 42300, Note_off_c, 0, 66, 80
"
469,"2, 42300, Note_on_c, 0, 65, 83
"
470,"2, 42720, Note_off_c, 0, 65, 80
"
471,"2, 42720, Note_on_c, 0, 63, 111
"
472,"2, 43200, Note_off_c, 0, 63, 80
"
473,"2, 43200, Note_on_c, 0, 62, 111
"
474,"2, 43260, Note_off_c, 0, 62, 80
"
475,"2, 43260, Note_on_c, 0, 64, 83
"
476,"2, 43320, Note_off_c, 0, 64, 80
"
477,"2, 43320, Note_on_c, 0, 62, 83
"
478,"2, 43380, Note_off_c, 0, 62, 80
"
479,"2, 43380, Note_on_c, 0, 64, 83
"
480,"2, 43440, Note_off_c, 0, 64, 80
"
481,"2, 43440, Note_on_c, 0, 62, 83
"
482,"2, 43500, Note_off_c, 0, 62, 80
"
483,"2, 43500, Note_on_c, 0, 64, 83
"
484,"2, 43560, Note_off_c, 0, 64, 80
"
485,"2, 43560, Note_on_c, 0, 60, 83
"
486,"2, 43620, Note_off_c, 0, 60, 80
"
487,"2, 43620, Note_on_c, 0, 61, 83
"
488,"2, 43680, Note_off_c, 0, 61, 80
"
489,"2, 43680, Note_on_c, 0, 63, 111
"
490,"2, 44160, Note_off_c, 0, 63, 80
"
491,"2, 44160, Note_on_c, 0, 63, 111
"
492,"2, 44220, Note_off_c, 0, 63, 80
"
493,"2, 44220, Note_on_c, 0, 70, 83
"
494,"2, 44640, Note_off_c, 0, 70, 80
"
495,"2, 44640, Note_on_c, 0, 70, 111
"
496,"2, 45120, Note_off_c, 0, 70, 80
"
497,"2, 45120, Note_on_c, 0, 70, 111
"
498,"2, 46080, Note_off_c, 0, 70, 80
"
499,"2, 46080, Note_on_c, 0, 62, 111
"
500,"2, 46560, Note_off_c, 0, 62, 80
"
501,"2, 47040, Note_on_c, 0, 70, 111
"
502,"2, 47520, Note_off_c, 0, 70, 80
"
503,"2, 47520, Note_on_c, 0, 70, 111
"
504,"2, 48000, Note_off_c, 0, 70, 80
"
505,"2, 48480, Note_on_c, 0, 64, 111
"
506,"2, 48960, Note_off_c, 0, 64, 80
"
507,"2, 48960, Note_on_c, 0, 64, 111
"
508,"2, 49440, Note_off_c, 0, 64, 80
"
509,"2, 49920, Note_on_c, 0, 69, 111
"
510,"2, 50400, Note_off_c, 0, 69, 80
"
511,"2, 50400, Note_on_c, 0, 69, 111
"
512,"2, 50880, Note_off_c, 0, 69, 80
"
513,"2, 51360, Note_on_c, 0, 62, 111
"
514,"2, 51840, Note_off_c, 0, 62, 80
"
515,"2, 51840, Note_on_c, 0, 62, 111
"
516,"2, 52320, Note_off_c, 0, 62, 80
"
517,"2, 52440, Tempo, 454545
"
518,"2, 52560, Tempo, 454545
"
519,"2, 52680, Tempo, 458015
"
520,"2, 52800, Tempo, 461538
"
